song name, artist, album, genre, link
Soundtrack 2 My Life,Kid Cudi,Man On The Moon: The End Of Day (Deluxe),Hip-Hop / Rap,https://open.spotify.com/track/0rFpcfF0YfvFUYsl99Bw9d?si=DKx2NMG0QuOjg3lzsqQr4w
Day 'N' Nite,Kid Cudi,Man On The Moon: The End Of Day (Deluxe),Hip-Hop / Rap,https://open.spotify.com/track/5wfllwdjglyQislkskYLBv?si=Kc_2CLw4TAeRjqqtEYPYxg
Man On The Moon,Kid Cudi,Man On The Moon: The End Of Day (Deluxe),Hip-Hop / Rap,https://open.spotify.com/track/78T9DulqSBWqkaxczcGBfk?si=Pg8sCacQRaqc3GBEwgPiUg
Pursuit of Happiness,Kid Cudi,Man On The Moon: The End Of Day (Deluxe),Hip-Hop / Rap,https://open.spotify.com/track/6MtKObWYda2qnNIpJI21uD?si=73Laan1RQf60YuLQCFcFSQ
Kids See Ghosts,Kid Cudi,Kids See Ghosts,Hip-Hop / Rap,https://open.spotify.com/track/2I3dW2dCBZAJGj5X21E53k?si=UM5QXNx9Qr6T8LcePnCe6g
Wake Me Up  ,Avicii,True (Bonus Edition),EDM,https://open.spotify.com/track/0nrRP2bk19rLc0orkWPQk2?si=pie53R1IQuey8MNko9xtWg
The Nights,Avicii,The Days / Nights,EDM,https://open.spotify.com/track/0ct6r3EGTcMLPtrXHDvVjc?si=a1TYra-mTmmqklUCRCUH_w
Waiting For Love,Avicii,Stories,EDM,https://open.spotify.com/track/2P4OICZRVAQcYAV2JReRfj?si=gE5eeg6TQKW3sM_IieuLJA
Without You,Avicii (feat. Sandro Cavazza),AVICI (01),EDM,https://open.spotify.com/track/6Pgkp4qUoTmJIPn7ReaGxL?si=mJVOs9ebR4ef3H0QvCbxqA
SOS,Avicii (feat. Aloe Blacc),TIM,EDM,https://open.spotify.com/track/2x0RZdkZcD8QRI53XT4GI5?si=ZotqI0z1SsW19BWoWdzPIw
Levels,Avicii,Levels,EDM,https://open.spotify.com/track/5UqCQaDshqbIk3pkhy4Pjg?si=7644kumiTsaaSvj8OwwD9g
Hey Brother,Avicii,True (Bonus Edition),EDM,https://open.spotify.com/track/4lhqb6JvbHId48OUJGwymk?si=DwOMmHscS06cDt9ogOXvvw
Old Town Road,Lil Nas X,7 EP,Country / Hip-Hop,https://open.spotify.com/track/0F7FA14euOIX8KcbEturGH?si=OAbqa-IJTeyBemYnjsXWow
Panini,Lil Nas X,Panini,Country / Hip-Hop,https://open.spotify.com/track/1000nHvUdawXuUHgBod4Wv?si=2woxveZ0QjOQEWX6gOHsqQ
Happier,Bastille (with Marshmello),Happier,Pop,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99?si=ecRsW4nXTTyEDIlN_FS59g
survivin',Bastille,survivin',Pop,https://open.spotify.com/track/1lwvJQGhdq6Kyr4BBquf23?si=Ih6aN4u5SOay-Nq-CEJoiA
Pompeii,Bastille,Bad Blood,Alternative Rock,https://open.spotify.com/track/3gbBpTdY8lnQwqxNCcf795?si=25bct_1uTAuNMV7l4aGzwA
ME!,Taylor Swift (feat. Brandon Urie),Lover ,Pop,https://open.spotify.com/track/2Rk4JlNc2TPmZe2af99d45?si=yQhdTEP8RW-zxmP4Go5esA
You Need To Calm Down,Taylor Swift,Lover ,Pop,https://open.spotify.com/track/6RRNNciQGZEXnqk8SQ9yv5?si=427T4CjORX6pEAlwQj9R3g
Love Story,Taylor Swift,Fearless,Pop,https://open.spotify.com/track/1D4PL9B8gOg78jiHg3FvBb?si=snU5abhERrK2TAjrkClQag
the 1,Taylor Swift,folklore,Pop,https://open.spotify.com/track/0Jlcvv8IykzHaSmj49uNW8?si=Hjrl9SGSRnW3KLuElNjk0w
cardigan,Taylor Swift,folklore,Pop,https://open.spotify.com/track/4R2kfaDFhslZEMJqAFNpdd?si=05EBmq_TQrKKuM9POQxBqA
The Man ,Taylor Swift,Lover ,Pop,https://open.spotify.com/track/3RauEVgRgj1IuWdJ9fDs70?si=iI54sGeuTOem00J6K0Im8g
Blank Space,Taylor Swift,1989,Pop,https://open.spotify.com/track/1p80LdxRV74UKvL8gnD7ky?si=Zrr2lPC9QN-7smOdYyN1aQ
7 rings,Ariana Grande,thank u next,Pop,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF?si=OM48h60jRmqgady55_NiOg
thank u next,Ariana Grande,thank u next,Pop,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ?si=TrKTrbFsQ-O-NNLJTVJb_Q
Stuck with U,Ariana Grande (feat. Justin Bieber),Stuck with U (feat. Justin Bieber),Pop,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH?si=_RQSAro-TcKulFvX-1t_7g
positions,Ariana Grande,Positions,Pop,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0?si=8v0qtagJS9-CUXe-YLJjbQ
On My Own,Jaden,ERYS,Hip-Hop,https://open.spotify.com/track/4D1eVq5AUILwjg3tAe7o6M?si=uk807f6QSvi5yzerYLtD1g
Icon,Jaden,SYRE,Hip-Hop,https://open.spotify.com/track/22nyEAEM29tcBRhukR089b?si=rxyuOAu9SQWDJukzWuTwoA
Summertime In Paris,Jaden,ERYS,Hip-Hop,https://open.spotify.com/track/6XNANAB7sFvkfho6bMCp7o?si=cL7ltPXfRxi7nnwnlOcykA
Ninety,Jaden,SYRE,Hip-Hop,https://open.spotify.com/track/2jdw2tc29bqJwToyGvKgJm?si=O81DgwrMTUmSpBrm5vkaOw
SOHO,Jaden,The Sunset Tapes: A Cool Tape Story,Hip-Hop,https://open.spotify.com/track/0gf2y5doKjsYaZJJZif4vz?si=Y_YzWxUtSIu3ERbQVBzOTw
Jocelyn Flores,XXXTENTACION,17,Emo Rap,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96?si=Y-bOW4CaTc-uvdytpEInyw
SAD!,XXXTENTACION,?,Emo Rap,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2?si=JOoRqacuTMSH21lmH7qx3Q
Moonlight,XXXTENTACION,?,Emo Rap,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL?si=Yv-_taYbQaqBj1wKmbIP9w
Lisztomania,Phoenix,Wolfgang Amadeus Phoenix,Pop Rock,https://open.spotify.com/track/7hwcojGiRqYm100tSmpZE3?si=KhsBdoFpQluDonv-jHowzg
Wonder,Shawn Mendes,Wonder,Pop  ,https://open.spotify.com/track/5KCbr5ndeby4y4ggthdiAb?si=7PzZ_i-nRnGjNCpe_VwHpg
Senorita,Shawn Mendes (with Camila Cabello),Shawn Mendes (Deluxe),Pop  ,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2?si=qZZ5lyCESQihp4AhVgFovA
Treat You Better,Shawn Mendes,Illuminate,Pop  ,https://open.spotify.com/track/3QGsuHI8jO1Rx4JWLUh9jd?si=HQOweeMgQy6Lh7E84gFVkQ
There's Nothing Holdin' Me Back,Shawn Mendes,Illuminate,Pop  ,https://open.spotify.com/track/3bBknFVxhFjBIFX91HcneQ?si=GHrsqSfnQoG3ru6YwMS5OA
Stitches,Shawn Mendes,Handwritten,Pop  ,https://open.spotify.com/track/5jsw9uXEGuKyJzs0boZ1bT?si=xqOP8ZkpT2OFxGfYpSg9og
HUMBLE.,Kendrick Lamar,DAMN.,Hip-Hop,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS?si=zoL6A2h1Qf-BdEpPWMrjiA
All The Stars,Kendrick Lamar (with SZA),Black Panther The Album Music,Hip-Hop,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s?si=3AEz-p0CSGCjtqKzpA5c1A
DNA.,Kendrick Lamar,DAMN.,Hip-Hop,https://open.spotify.com/track/6HZILIRieu8S0iqY8kIKhj?si=pQQlQlktR5676OycfwTffA
LOVE.FEAT.ZACARI.,Kendrick Lamar,DAMN.,Hip-Hop,https://open.spotify.com/track/6PGoSes0D9eUDeeAafB2As?si=NisGdMjhSo6_JWmxz-y78w
Low ,Flo Rida (with T-Pain),Mail On Sunday,Hip-Hop / Dance,https://open.spotify.com/track/0CAfXk7DXMnon4gLudAp7J?si=QW5LXzckTqeANRYMQ7a4HQ
Whistle,Flo Rida,Wild Ones,Hip-Hop / Dance,https://open.spotify.com/track/3bC1ahPIYt1btJzSSEyyrF?si=wEMl8M0ZTiyR3tyyDQgPVw
Good Feeling,Flo Rida,Wild Ones,Hip-Hop / Dance,https://open.spotify.com/track/2LEF1A8DOZ9wRYikWgVlZ8?si=wjpVcjheTF67sdvKAddsrQ
My House,Flo Rida,My House,Hip-Hop / Dance,https://open.spotify.com/track/6Knv6wdA0luoMUuuoYi2i1?si=HdsLL-IYT0iIeMp5zGpYtQ
Club Can't Handle Me ,Flo Rida (feat. David Guetta),Only One Flo (Part 1),EDM,https://open.spotify.com/track/6ebkx7Q5tTxrCxKq4GYj0Y?si=yHv6GmyeSIGAR3-fO4QUVA
Black Beatles,Rae Sremmurd,SremmLife 2 (Deluxe),Alternative Rock,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo?si=Y-KVyCm5Tf6jF00COxy5ug
Unforgettable,Swae Lee,Jungle Rules ,Hip-Hop ,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe?si=zp8ZU0_uT2it8m0dxaskqQ
Powerglide,Swae Lee (feat. Juicy J),S3MM,Hip-Hop / Dance,https://open.spotify.com/track/1BuZAIO8WZpavWVbbq3Lci?si=3h6ot-M4SZ6e62TA8wh2rw
Shelter,Madeon,Shelter,Electronic,https://open.spotify.com/track/2CgOd0Lj5MuvOqzqdaAXtS?si=zQsS_TN2R5q8ZRHCxg0Fxg
The Prince,Madeon,The Prince,Electronic,https://open.spotify.com/track/5MT2w1BexEAWjJ62OOHE6q?si=v0LzRp7wR8mNB_-bWY6Cqg
All My Friends,Madeon,Good Faith,Electronic,https://open.spotify.com/track/3ArdPRbscsYB2uI70AzpuG?si=6h-MZSRFQiSiq2XqJaAqWw
Finale,Madeon (feat. Nicholas Petricca),Adventure (Deluxe),Electronic,https://open.spotify.com/track/4ATmY1hv93ehw77LrIdbEh?si=Evmyzso3SJqZoFdWg7XT5A
Pay No Mind,Madeon (feat. Passion Pit),Adventure (Deluxe),Electronic,https://open.spotify.com/track/3rsq3qtqNBId48c0IVraTS?si=3JTM1CTCRdqmWOEXG7DzVw
The Diary Of Jane,Breaking Benjamin,Phobia,Rock  ,https://open.spotify.com/track/0faXHILILebCGnJBPU6KJJ?si=ibARpnr2Qvi8SSMlkqizeA
I Will Not Bow,Breaking Benjamin,Dear Agony,Rock  ,https://open.spotify.com/track/2yXyz4NLTZx9CLdXfLTp5E?si=2AKYeUOPSD60JoaHfnKTBw
Angels Fall,Breaking Benjamin,Dark Before Dawn,Rock  ,https://open.spotify.com/track/2D9BrlpeyjXF0vli2dYQ5V?si=yvB43RR_RdW4za2sN_Ln-A
Scared to Be Lonely,Martin Garrix ,Scared to Be Lonely,Electronic,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH?si=OAiNzj3vQLifMeCDYM33Zw
In the Name of Love,Martin Garrix (with Bebe Rexha),In the Name of Love,Electronic,https://open.spotify.com/track/23L5CiUhw2jV1OIMwthR3S?si=OPPX0kvuSKqg4AX2X9aZDw
High On Life,Martin Garrix (feat. Bonn),High On Life (feat. Bonn),Electronic,https://open.spotify.com/track/4ut5G4rgB1ClpMTMfjoIuy?si=tCoGbiwST_Sqn93DDNFFgw
Ocean,Martin Garrix (feat. Khalid),Ocean (feat. Khalid),Electronic,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS?si=nKshPo2aQX2w90WkUDhYOg
There For You,Martin Garrix (with Usher),There For You,Electronic,https://open.spotify.com/track/6jA8HL9i4QGzsj6fjoxp8Y?si=D2E7e_JfQa-v7knvskHjTQ
Don’t Look Down,Martin Garrix (with Troye Sivan),Don’t Look Down (feat. Usher) ,Electronic,https://open.spotify.com/track/5M9jOReAKGZ2AttVefFjTY?si=Wus3kL7oShSsXs6OqwVoIA
Carnival of Rust,Poets of the Fall,Carnival of Rust,Rock,https://open.spotify.com/track/2DtPEKs3Pj7E06EoWW4vw8?si=qZ32L76kQCmRgCI-yetz8Q
My Dark Disquiet,Poets of the Fall,Ultraviolet,Rock,https://open.spotify.com/track/2eCqaqKJQd0Gc5k9O2peCH?si=lcFNmgPbSXq0UfHNEz6W5w
War,Poets of the Fall,Twilight Theater,Rock,https://open.spotify.com/track/68zo0Yd3NayeXQmgElmx1h?si=uNUt7Hf0R-KYRhANs4HedQ
Lift,Poets of the Fall,Signs of Life,Rock,https://open.spotify.com/track/1HZrlGSsrTLKIYkklOvi4B?si=aUxp3PxoRQGs6Wjmrcnkdw
Locking Up the Sun,Poets of the Fall,Carnival of Rust,Rock,https://open.spotify.com/track/1jEPdLuyYDSTRJTuCP9Gpg?si=ApWeA3NOSrSnLTcvckVWvQ
Chop Suey!,System of a Down,Toxicity,Metal,https://open.spotify.com/track/2DlHlPMa4M17kufBvI2lEN?si=FkfieBv2SwCtWUgveTtyhA
Toxicity,System of a Down,Toxicity,Metal,https://open.spotify.com/track/0snQkGI5qnAmohLE7jTsTn?si=bBeTmbyURl21THobxD_XRQ
B.Y.O.B,System of a Down,Mezmerize,Metal,https://open.spotify.com/track/0EYOdF5FCkgOJJla8DI2Md?si=vUsMstmdQK694z-uYuwOTw
Apocalypshit,Molotov,Apocalypshit,Rock ,https://open.spotify.com/track/6vbJSbJelh7O22RnsdfouI?si=WYqIIe9aQ1SWa0IQcFfjeQ
Gimme Tha Power,Molotov,¿Dónde Jugarán las Niñas?,Rock ,https://open.spotify.com/track/6grtIVjVPuZWup0fIXF900?si=j7jJiFEHTzKQ9WG8clCIvw
Yeah!,Usher (feat. Lil Jon & Ludacris),Confessions (Expanded Edition),Pop,https://open.spotify.com/track/5rb9QrpfcKFHM1EUbSIurX?si=8IHV2Ee7Sd-zH0-a9Ve-gw
My Boo,Usher,Confessions (Expanded Edition),Pop,https://open.spotify.com/track/68vgtRHr7iZHpzGpon6Jlo?si=0JcHp-CDRL-oIb7SNvP-LA
DJ Got Us Fallin' In Love,Usher (feat. Pitbull),Raymond v Raymond (Expanded Edition),Pop,https://open.spotify.com/track/4356Typ82hUiFAynbLYbPn?si=pOFJEe8_TyqUll7f4iA4Jg
Down,Jay Sean,All Or Nothing,Pop,https://open.spotify.com/track/7LP4Es66zdY7CyjepqmvAg?si=sECElOn9QLGE8P6F_QgnCw
Do You Remember,Jay Sean,All Or Nothing,Pop,https://open.spotify.com/track/7yws3pF3FFguwT2Psi6c15?si=UPxselglR-eG9wU1KKWUsA
Make My Love Go,Jay Sean (feat. Sean Paul),Make My Love Go (feat. Sean Paul),Pop,https://open.spotify.com/track/2di4loru09xsyMBDG9ainC?si=m4732D-NTj6pNw5y4mj1jQ
2012 (It Ain't The End),Jay Sean,2012 (It Ain't The End),Pop,https://open.spotify.com/track/1ERCOXHQcoLSTlgmNTlcrR?si=_kjd6bJ0TaqBlmaoHO2c8A
Remember the Name ,Fort Minor (feat. Styles of Beyond),The Rising Tied,Rock,https://open.spotify.com/track/6ndmKwWqMozN2tcZqzCX4K?si=lZVt3D11R3yv1nTHlKjXHQ
Temperature,Sean Paul,The Trinity,Hip-Hop / Pop,https://open.spotify.com/track/0k2GOhqsrxDTAbFFSdNJjT?si=sqODcycITLijXKRD7YTosw
No Lie,Sean Paul,Mad Love The Prequel,Hip-Hop / Pop,https://open.spotify.com/track/48QmG1dfvMuYLxMPt7KSRA?si=hIHlYHpoR--b1bSiAcF9Xg
Mad Love,Sean Paul,Mad Love The Prequel,Hip-Hop / Pop,https://open.spotify.com/track/4dSoDnmR9opAQ8KxUc9SbC?si=zPMh-69JT0OjI5iOkjGC8w
Get Busy,Sean Paul,Dutty Rock,Hip-Hop / Pop,https://open.spotify.com/track/5qTvkDrSfvwDv6RBjjcfQr?si=H5gIK4-8RHWXjAYaIRVkqw
Solo Dance,Martin Jensen,Solo Dance,Pop,https://open.spotify.com/track/3hRi7ubt1NhroxTrdnjn4w?si=tRD-fYr7QMSRJU30NW3W2w
Nobody,Martin Jensen,Nobody,Pop,https://open.spotify.com/track/2qfEcCkEo5NscA9GL7ER72?si=u3FoOYzYROKLK_vC3F1Cuw
Middle Of The Night,Martin Jensen,Night & Day (Night Edition),Pop,https://open.spotify.com/track/74vs7PD7iG2GnWUGnb8Yuq?si=Spx4mQcXQGaJBtWL349Grw
Miracles,Martin Jensen,Miracles,Pop,https://open.spotify.com/track/4DSLGZ3IjeIcTTU1EZoSzB?si=Km_-oxOkRmSUbuwPuzFsaQ
Waiting For Superman,Daughtry,Baptized (Deluxe Version),Alternative Rock,https://open.spotify.com/track/4AU7z13HYmPMetlWbq1mys?si=ZE4grVtHSHWUB2tXiuJEPg
Over You,Daughtry,Daughtry (Deluxe Edition),Alternative Rock,https://open.spotify.com/track/2R5uY1gbIKzGB1yAOH067s?si=oZVS3aVDQ4aiQhKukXgTRw
It's Not Over,Daughtry,Daughtry (Deluxe Edition),Alternative Rock,https://open.spotify.com/track/234RqTZmnDTnxWlVciXHLD?si=tU_zduLdQU63Cl-2qZVmuA
Home,Daughtry,Daughtry (Deluxe Edition),Alternative Rock,https://open.spotify.com/track/2mobr1UlKjhxDTOVqng3jw?si=7p7Xvx5xTay7O_qO8B3MCw
No Surprise,Daughtry,Leave This Town,Alternative Rock,https://open.spotify.com/track/04Sl2hULaCVM7Iw8kzXPHN?si=4QhEnHkyQimLbOBu6zr69w
Takeaway,Illenium (with the Chainsmokers),World War Joy,Electronic / Pop,https://open.spotify.com/track/3g0mEQx3NTanacLseoP0Gw?si=3z5OY41VQeaE2ZWPdrA9iA
Good Things Fall Apart,Illenium  (with Jon Bellion),ASCEND,Electronic / Pop,https://open.spotify.com/track/3LxG9HkMMFP0MZuiw3O2rF?si=rWGZYLZZQfGW_SURf11HrQ
Feel Good,Illenium  (feat. Daya),Awake,Electronic / Pop,https://open.spotify.com/track/0Ev562zA4pmUsBqjxsxxdx?si=OL-DmWyYTryfUdw_Mk_L8g
In Your Arms,Illenium  (with X Ambassadors),ASCEND,Electronic / Pop,https://open.spotify.com/track/70YPzqSEwJvAIQ6nMs1cjY?si=7wfCmACmS3C5OYeRzOS69g
No Time Like Now,Illenium  ,Awake,Electronic / Pop,https://open.spotify.com/track/2uA2UMcHR5gztUSECJjK8k?si=kdbGmygrTIqnpBmb7rgrQQ
Fractures,Illenium  (feat. Nevve),Awake,Electronic / Pop,https://open.spotify.com/track/4G3IXyVRxSx5lLhUvv3fu3?si=99kj-hkWQg6mdW44BQII_A
Leaving,Illenium  ,Awake,Electronic / Pop,https://open.spotify.com/track/5XlvOh5YbJMp7CU3NoksNf?si=bsSFFuj9TsW48DpnabD52w
Taking Me Higher,Illenium  ,Awake,Electronic / Pop,https://open.spotify.com/track/1bI9jePC8sxwC8wGtCDCqR?si=QGpakbpfQd6U7hdvgRaO3Q
Take You Down,Illenium  ,Take You Down,Electronic / Pop,https://open.spotify.com/track/0n30h31bEKiIHXXzPbkdqy?si=n0VJMgY0STit_dyRK1DUcg
It Ain't Me,Kygo (with Selena Gomez),It Ain't Me,Electronic / Pop,https://open.spotify.com/track/12GEpg2XOPyqk03JZEZnJs?si=vJ_l35XFR_m24e_BtZGidw
Happy Now,Kygo (with Sandro Cavazza),Happy Now,Electronic / Pop,https://open.spotify.com/track/14sOS5L36385FJ3OL8hew4?si=relAlgLMTsa5v1tOzSXLtg
Remind Me to Forget,Kygo (with Miguel),Remind Me to Forget,Electronic / Pop,https://open.spotify.com/track/5sIx4BlfYGuZeSLF40N9GH?si=WRZRsFr2TYadOvjLzySHOA
Like It Is,Kygo (with Zara Larsson and Tyga),Like It Is,Electronic / Pop,https://open.spotify.com/track/3frUvGrmGcay91lvFbOgsN?si=DD8ECLBqTDKtFT00ZOMFmQ
Firestone,Kygo,Clod Nine,Electronic / Pop,https://open.spotify.com/track/1I8tHoNBFTuoJAlh4hfVVE?si=lgLbZ6lWT0yAh8zoyqBp1w
Higher Love,Kygo,Golden Hour,Electronic / Pop,https://open.spotify.com/track/1kKYjjfNYxE0YYgLa7vgVY?si=RE8XMdnVQMy1276ALS173A
Lose Somebody,Kygo,Golden Hour,Electronic / Pop,https://open.spotify.com/track/1sgDyuLooyvEML4oHspNza?si=2GLk5neFRNqB9yCBJQ-osw
Ten Feet Tall,Afrojack,Forget The World,House,https://open.spotify.com/track/2ldAdghnrO34HPcZ0IWfTu?si=TuxntDxHRx6gEXowcdbIKg
No Rest,Lil Skies,No Rest,Emo Rap / Pop,https://open.spotify.com/track/0chpIFSjgfd1CPrAxM7PWp?si=EqcCVbLjRJO7qUKaB3pnrA
Nowadays,Lil Skies,Life of a Dark Rose,Emo Rap / Pop,https://open.spotify.com/track/2u7mxWSeoqTXndK5e08jMp?si=IfCa99aFTRaKgntmWTFb5w
Red Roses,Lil Skies,Life of a Dark Rose,Emo Rap / Pop,https://open.spotify.com/track/3ZhTT6yjZwpPph5MIJ53XY?si=lR4Xb63qQIqE_J215dwmvQ
Creeping,Lil Skies (feat. Rich The Kid),Creeping (feat. Rich The Kid),Emo Rap / Pop,https://open.spotify.com/track/7ms3VzLTfr7fXNOqA4Mkx9?si=Jfl_0pUHSE2yTOS8yAKZUg
Lust,Lil Skies,Life of a Dark Rose,Emo Rap / Pop,https://open.spotify.com/track/7oJrVhiTPZGBXWPwhxjy9S?si=xRW9VwSVQJyAlTujpV_GgA
I,Lil Skies,Shelby,Emo Rap / Pop,https://open.spotify.com/track/4ZT9FnbFu1PaBfV3itxiqT?si=sISSB_HsSwynxsYm3PkYJg
Sky Walker,Miguel (feat. Travis Scott),War & Leisure,R&B   ,https://open.spotify.com/track/5WoaF1B5XIEnWfmb5NZikf?si=Kw3qcK0tRDS4YlOZuxB-tg
Come Through and Chill,Miguel (feat. J. Cole & Salaam Remi),War & Leisure,R&B   ,https://open.spotify.com/track/1m8WpLYXEiNVZchsWEcCSy?si=T-vyf0ysT3SHKzoF3YUYIQ
Sure Thing,Miguel,All I Want Is You,R&B   ,https://open.spotify.com/track/0JXXNGljqupsJaZsgSbMZV?si=JqWzALtkS4uoXORNYvLUuw
Adorn,Miguel,Kaleidoscope Dream,R&B   ,https://open.spotify.com/track/25cUhiAod71TIQSNicOaW3?si=UuD_Rc6pTeuxC0WlX40pWA
leaves,Miguel,Wildheart (Deluxe),R&B   ,https://open.spotify.com/track/4yPnPn9UENvl7KntadUiKS?si=J4-3KG0qStG8QsR1i7aNTg
Hate Me,Ellie Goulding (with Juice WRLD),Brightest Blue,Pop,https://open.spotify.com/track/15og0pCEcTFWEXOFKdcJlU?si=Yh1FCMtLSoS4AJvNlfdRWw
Love Me Like You Do,Ellie Goulding,Delirium (Deluxe),Pop,https://open.spotify.com/track/3zHq9ouUJQFQRf3cm1rRLu?si=2bXsurySQO2mFtq4MeboJQ
Close To Me,Ellie Goulding,Brightest Blue,Pop,https://open.spotify.com/track/2GjMaJ7DacMIkgoe8oMXGg?si=nSAVAkQ6ShmJ-UUyT1DMcQ
Sixteen,Ellie Goulding,Brightest Blue,Pop,https://open.spotify.com/track/6p6KdVpfKtTMisH5VfWqsL?si=gEOUI0-IQXeh0Buc5DbTYg
See You Again,Wiz Khalifa (with Charlie Puth),See You Again (with Charlie Puth),Hip-Hop ,https://open.spotify.com/track/2JzZzZUQj3Qff7wapcbKjc?si=PdGC5MB3TfePuerEiPLFYw
Young Wild & Free,Wiz Khalifa (with Bruno Mars),Mac And Devin Go to High School,Hip-Hop ,https://open.spotify.com/track/6YbhspuOar1D9WSSnfe7ds?si=f-0zQpTUQk2TJRtIHD07DQ
Black and Yellow,Wiz Khalifa,Rolling Papers,Hip-Hop ,https://open.spotify.com/track/5A6OHHy73AR5tLxgTc98zz?si=fzpu9SDIQWS2Yks9i716yg
Still D.R.E.,Dr. Dre,2001,Rap,https://open.spotify.com/track/503OTo2dSqe7qk76rgsbep?si=SPehWql-Qn21s_ue4Gv5cw
The Next Episode,Dr. Dre,2001,Rap,https://open.spotify.com/track/4LwU4Vp6od3Sb08CsP99GC?si=e9p4ZFyiTv-ZiF3qOwvUAA
Forgot About Dre,Dr. Dre,2001,Rap,https://open.spotify.com/track/7iXF2W9vKmDoGAhlHdpyIa?si=Q78N2DbrQbqnk9pAW1tqMQ
"Nuthin' But A ""G"" Thang",Dr. Dre,The Chronic,Rap,https://open.spotify.com/track/4YtoipFgf4k0AfD17ZfD5X?si=WhpOIr-0SqSNFd1TZTIKWw
Mood,iann dior and 24kGoldn,Mood (feat. iann dior),Hip-Hop / Pop,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq?si=NQzFc_uwT-K0i8ZkOEcsXQ
emotions,iann dior,nothings ever good enough,Hip-Hop / Pop,https://open.spotify.com/track/5ls62WNKHUUrdF3r1cv83T?si=K0zF2PC2Trq9gMUJLCvX4w
gone girl,iann dior,Industry Plant,Hip-Hop / Pop,https://open.spotify.com/track/3iH29NcCxYgI5shlkZrUoB?si=zxZ16D9USEaTXifyAjINDA
molly,iann dior,nothings ever good enough,Hip-Hop / Pop,https://open.spotify.com/track/0q0Vsy1SHdUSrR7TJGNAVn?si=LQ7jRZGgRvqOkY1bIByslQ
Feel So Close,Calvin Harris,18 Months,Dance,https://open.spotify.com/track/1gihuPhrLraKYrJMAEONyc?context=spotify%3Aplaylist%3A37i9dQZF1DX5wLEUgIR5Wy&si=lEgpjjt6R_eyphpC46Ol8A
My Way,Calvin Harris,My Way,Dance,https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm?context=spotify%3Aplaylist%3A37i9dQZF1DX5wLEUgIR5Wy&si=AShM7DB7RymkC3DfdfLCJw
Under Control,Calvin Harris,Motion,Dance,https://open.spotify.com/track/4J7CKHCF3mdL4diUsmW8lq?context=spotify%3Aplaylist%3A37i9dQZF1DX5wLEUgIR5Wy&si=arpl74RRR9mCq_pFpzyTHg
Summer ,Calvin Harris,Motion,Dance,https://open.spotify.com/track/6YUTL4dYpB9xZO5qExPf05?context=spotify%3Aplaylist%3A37i9dQZF1DX5wLEUgIR5Wy&si=nFOqkVnjT7iAGtoPbhqK0A
We'll Be Coming Back,Calvin Harris,18 Months,Dance,https://open.spotify.com/track/7B1Dl3tXqySkB8OPEwVvSu?context=spotify%3Aplaylist%3A37i9dQZF1DX5wLEUgIR5Wy&si=H2uT8wi2Rs61kjHSQS4foA
Attention,Charlie Puth,Voicenotes,Pop,https://open.spotify.com/track/5cF0dROlMOK5uNZtivgu50?si=tp2s51VeROSdSVPbR2vREA
We Don't Talk Anymore,Charlie Puth (feat. Selena Gomez),Nine Track Mind,Pop,https://open.spotify.com/track/37FXw5QGFN7uwwsLy8uAc0?si=xDMOsofVSPqpiZIM0yVPsQ
One Call Away,Charlie Puth,Nine Track Mind,Pop,https://open.spotify.com/track/7soJgKhQTO8hLP2JPRkL5O?si=AqBbQ0xpSkibJa8vOGEaVQ
Marvin Gaye,Charlie Puth (feat. Meghan Trainor),Nine Track Mind,Pop,https://open.spotify.com/track/7rl1z4j7MurMDnn9rHh4M2?si=ciEpg3CnS8-2gJvr5HvW5A
How Long,Charlie Puth,Voicenotes,Pop,https://open.spotify.com/track/6wmAHw1szh5RCKSRjiXhPe?si=fHr09odRQKit7p-hEGB0DQ
That's What I Like,Bruno Mars,24K Magic,Pop / R&B,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU?si=U3dlE9n2S3WD9u4uPl3FAA
Just the Way You Are,Bruno Mars,Doo-Wops & Hooligans,Pop / R&B,https://open.spotify.com/track/7BqBn9nzAq8spo5e7cZ0dJ?si=friR07C_SCqrJ9bGKOzmlA
